R,G,B,H,H,S,V,L,A,B,MK,STDDEV,VRES,SRES,LCCP0_C,LCCP0_S,LCCP0_N,0_CT,0_ST,LCCP1_C,LCCP1_S,LCCP1_N,1_CT,1_ST,WL,WC,WV,L,C,V,K,,,
154,98,134,5,167,140,149,"[41, 177]",49,66,81,1.65784745178279,0.00635393924874201,0.0247448561416578,0.108450858252898,0.588710816884778,0.622252552022309,31.1857632690237,0.371516231309243,0.24540939824615,0.633711872560103,0.701169783522193,132.232175798625,0.295980651946923,0.126820105823707,0.222829210788525,0.669037995504805,"[0.007348029225308577, 0.024753162102635635]","[0.7358042855663629, 1.4033023528330606]","[1.7802276905785604e-07, 1.1301895030499365e-06]",1,1,1,5
119,142,136,67,116,106,126,"[33, 152]",63,95,71,1.79104977685014,0.00746734915602999,0.0188923347443552,0.377168079044748,0.715545353827944,0.622124993698126,152.312092228651,0.52622007984612,0.32513583390656,0.52599638592192,0.626759336391555,24.2164999496114,0.172768529814275,0.581635401820371,0.113502681546088,0.249583617784482,"[0.008710801139249246, 0.022095696369651533]","[0.6295532680613384, 1.2127444406927796]","[2.4354530888811336e-07, 8.852868440070858e-07]",3,13,9,11
136,66,148,49,168,103,113,"[38, 221]",144,140,44,1.22989672325882,0.00631084687280788,0.027810986545382,0.121154783308845,0.239076999905093,0.783496758261252,32.8544501757144,0.832653848666056,0.233940906476328,0.754074659747383,0.616209816189033,97.0783337798374,0.845509023133904,0.301825436877322,0.133560573683974,0.306660985214369,"[0.00644412901296666, 0.022219686039332116]","[0.5910825696430577, 1.2282840932419121]","[4.5048653279862605e-08, 1.526857355960838e-06]",2,0,3,6
139,83,93,51,129,133,82,"[21, 229]",45,12,77,2.33864654734561,0.00539041146350841,0.0148383396269885,0.00447578546670324,0.609904364282993,0.575621624731484,61.707676694924,0.268689760117425,0.180223551202217,0.490674970504612,0.659784334095695,143.493881619555,0.466467435649132,0.443898773408819,0.617092446146629,0.671155663763492,"[0.005331348006918855, 0.024896215389804327]","[0.49570066516881095, 1.2393696593299681]","[2.3801134298959457e-07, 9.384376257826156e-07]",4,1,1,2
123,120,86,11,128,148,62,"[50, 219]",156,2,57,1.00978862248361,0.00711997125018001,0.0278344599657783,0.331879809548663,0.779026348405035,0.514612978355104,87.4540422699847,0.297402937972876,0.311643035651502,0.571603822638334,0.564328372433397,73.6181862896195,0.48310314296201,0.657922033105872,0.198323568541338,0.340481042807979,"[0.006840459938197256, 0.0221754965269462]","[0.5801585736872045, 1.299512996885576]","[9.9035336105477e-08, 8.957183807814877e-07]",2,1,5,1
159,52,119,12,113,134,149,"[31, 229]",1,100,91,1.52638432902934,0.00751595117048956,0.020421855843908,0.0793121469901932,0.228972404870022,0.436024675795054,122.155332286657,0.873437795721523,0.349787592090103,0.692985447367085,0.253803788098864,113.737358223973,0.170099527070877,0.634089874621637,0.478354640367675,0.952801176972622,"[0.007261308354050915, 0.02027999512456278]","[0.5562732963515026, 1.3075626054513776]","[2.0989600925289116e-07, 1.1725559374841741e-06]",2,-1,1,1
156,76,106,64,165,106,99,"[71, 246]",141,38,96,2.40762238223602,0.00635147550581099,0.0282776675628789,0.362964181572538,0.567454151313297,0.618131078615464,83.011405508084,0.787639929003227,0.210481220225267,0.654573683812861,0.209326193632602,72.1207225405966,0.623986677631573,0.734086553983557,0.627384438141902,0.125190493039852,"[0.009465830603476628, 0.023982428662644426]","[0.5663262380018814, 1.392769802374791]","[2.0189918736831654e-07, 1.3091475162283549e-06]",2,-1,1,6
168,137,72,73,117,78,57,"[28, 225]",51,160,73,1.01732543107876,0.0052036342216008,0.0142729176718928,0.316687690519168,0.577680851090743,0.237835812939671,112.140587722394,0.389535248223968,0.122390093336461,0.541207165979848,0.461122170654321,76.8536953480452,0.293171927688166,0.599749301420707,0.437901470471955,0.211101746523384,"[0.007296377370568806, 0.020055444422987817]","[0.628624212010029, 1.5277816146069694]","[6.286010354568782e-08, 8.279510293018079e-07]",1,8,7,4
198,113,62,49,145,111,131,"[13, 180]",24,93,91,1.72523050913484,0.00687321067807817,0.0118828443974721,0.227683258625415,0.525359930359532,0.270512449233153,120.194704990538,0.314545456254833,0.0923117742037647,0.451122032172664,0.727872977226576,160.255563188795,0.924158503890809,0.800701514491027,0.842047661232792,0.412989585309348,"[0.006348324980984893, 0.024913849463761635]","[0.6383530263345283, 1.5783454868785662]","[1.1933467014701593e-07, 1.3059768355051603e-06]",1,-1,1,1
117,63,118,30,107,69,126,"[86, 154]",115,107,61,1.87441513747411,0.00616923173080077,0.0156862867121418,0.159462733463464,0.326838815070015,0.370602534340954,15.4761296473762,0.660242603236711,0.0391493456655788,0.656929001807001,0.262839207913303,136.488776526342,0.586014948026218,0.592451939757251,0.702876035844289,0.821700684489462,"[0.007619708115446263, 0.020865348500917313]","[0.4959879697243587, 1.434764563343213]","[1.8179948873207818e-07, 7.716077362503836e-07]",3,2,2,6
128,82,108,67,143,134,128,"[29, 189]",152,48,59,1.90676371087342,0.00753545867272134,0.0180835333783669,0.0209020836497117,0.488495729457441,0.402023917178867,126.876759587311,0.311787442030139,0.143567646121896,0.461451642433251,0.685306552895854,57.1088914377541,0.16458461510902,0.449210406286169,0.880421136695228,0.488306155909711,"[0.007566503835814041, 0.02338287707373693]","[0.62343954963698, 1.3744799501457454]","[7.021946558812515e-08, 9.4774222266273e-07]",2,0,2,2
185,54,109,11,122,124,115,"[21, 151]",82,37,82,1.21384217488292,0.00580707464250171,0.0126138651405668,0.0546503442486835,0.623610609753104,0.761004941759802,134.906664311733,0.127413749514013,0.322106044133169,0.797511668669615,0.356495174152448,14.2749253594245,0.752970469303406,0.406851113380467,0.516795162984265,0.977945030243814,"[0.007945807437306947, 0.022734868270861498]","[0.5541560731366589, 1.2513042707501123]","[2.2121732900347256e-07, 1.375054031868216e-06]",3,-1,1,11
165,61,145,62,113,113,125,"[62, 231]",148,166,53,1.62125833597873,0.006325029609972,0.0150908278022234,0.173968797485804,0.562996573486843,0.311265300118975,136.756819313268,0.451314946780042,0.0180069584257659,0.793846947232186,0.574336981449867,60.3327053862912,0.348143774913111,0.596473327703654,0.552567303589088,0.79702530354899,"[0.005545737704619954, 0.024656049737639713]","[0.5704985755983298, 1.4752240865992081]","[1.298449009396143e-07, 1.4985580147282886e-06]",2,-1,2,1
175,118,65,13,120,133,149,"[59, 173]",94,158,55,2.11729313790534,0.00617312557905609,0.0246909113149342,0.202650121193726,0.524259083832747,0.262872533543435,57.3642551904268,0.0039432156472341,0.277650721811902,0.308331293137923,0.353139047338223,62.8806799137282,0.588015240796599,0.849473026662682,0.201940644738726,0.348494377459841,"[0.005646779256107929, 0.023150393595801996]","[0.5403015742824389, 1.5559969332773917]","[1.8734995029068614e-07, 1.3582465111271505e-06]",4,1,1,2
194,121,70,80,148,58,116,"[85, 161]",81,170,72,2.83024940925202,0.00745623441658617,0.0103815651522343,0.0685553723112761,0.398688464818237,0.243472335943322,45.9782893445795,0.0775770263283979,0.043103863018642,0.649793700253783,0.340589495662128,73.6347433881667,0.0175907487410982,0.338126650332251,0.897650596813985,0.183683161909901,"[0.007545071508342395, 0.02024151261880174]","[0.4418917073845703, 1.5954100701705094]","[4.325570529648042e-08, 9.446941369188255e-07]",2,-1,2,2
178,95,118,19,112,64,142,"[36, 170]",128,88,95,1.50480266500598,0.00695892394025947,0.0205192427402992,0.25215717163764,0.333506963953557,0.533872639524866,151.939515473847,0.642257375180776,0.149404810264662,0.603486004882206,0.464809558579617,151.849098074149,0.478876017421072,0.783206945933654,0.870876122581696,0.586652444521737,"[0.008011460550872698, 0.022029573118842755]","[0.5097376301977857, 1.5651152785602953]","[1.41846366862673e-07, 1.1073496829785039e-06]",2,-1,3,2
124,146,138,33,167,81,149,"[47, 233]",31,46,67,2.50835576609071,0.00749941501054899,0.0202461357277783,0.159117067474231,0.339545740437761,0.717401604169244,70.7524404396321,0.357497410554085,0.158808985856434,0.395180065163721,0.78801784538349,80.5697690836128,0.519177960804085,0.75836218585388,0.177545471763525,0.275881480126814,"[0.008772243400145529, 0.02239504031267894]","[0.7410701099135187, 1.3725922892497313]","[8.395217823029049e-08, 9.600270416721844e-07]",4,2,1,1
148,132,72,7,158,145,106,"[79, 194]",45,61,72,1.41835621197044,0.00607975449834934,0.0256593014092783,0.205948721903598,0.272797886928164,0.701255316500569,67.8603438314578,0.613074059865189,0.361110672639084,0.237295665974823,0.614235599305943,59.2237526920741,0.160293671337269,0.26920462193122,0.65600250603806,0.323549703808328,"[0.008194352279747706, 0.024296540702960612]","[0.4805066625241701, 1.3427970045542723]","[3.7912379237950746e-08, 1.414548668559374e-06]",2,8,1,2
173,61,68,37,124,107,144,"[74, 230]",113,55,85,2.2685343765021,0.0053597560569469,0.0301934746231538,0.254444873115449,0.6844268415476,0.408303119832291,147.696550196079,0.580180415974708,0.286965800199497,0.785815695567219,0.551024661488695,29.8122798276221,0.655624933780043,0.252685154369484,0.472567538625005,0.96679987798529,"[0.006939694029978884, 0.023517394268724977]","[0.5305634597183583, 1.3202194411675783]","[2.2597259231139524e-07, 8.749240142118589e-07]",2,-1,1,3
138,98,133,70,144,75,103,"[77, 252]",16,152,43,2.27503244877946,0.00750484124812512,0.03622429827573,0.167904299904134,0.260586944757431,0.585154425408826,28.7723861840389,0.434981447835253,0.190302994615009,0.38494550050348,0.771379851075368,73.5596042683762,0.278099755083666,0.756035035175054,0.498399294254538,0.985355819921597,"[0.007318258726713726, 0.024870487521002835]","[0.7861273963490433, 1.5139976075261576]","[1.3639733639570685e-07, 1.4374869400599084e-06]",1,0,1,2
119,52,112,42,142,55,137,"[56, 252]",155,84,80,2.07515943996304,0.00792667314886076,0.0289945153689601,0.0740665347938644,0.749809010719251,0.590330690573562,147.757387764553,0.577122942957215,0.0892682887964969,0.584067496016458,0.267985658557818,25.1418549463429,0.232130817266592,0.612211076345315,0.223525626034792,0.954063336915794,"[0.006191667267852932, 0.02288760407783051]","[0.7360924128696116, 1.3249772519603056]","[1.962514019547214e-07, 1.4161649148423163e-06]",2,0,3,3
113,64,109,53,142,116,107,"[26, 252]",81,104,94,1.5741558150638,0.00582696498514314,0.0242682948670823,0.0463116306054378,0.201456580801432,0.283862147447094,101.261505837193,0.393403400660038,0.258232119343115,0.554067118538215,0.420823214752961,65.3030467431532,0.537778100771208,0.529799717802334,0.952468875803931,0.569493230587605,"[0.00994628689858468, 0.021915139647130804]","[0.4457752308916824, 1.3384899930517313]","[1.9257318023516086e-07, 1.4928492134495115e-06]",1,0,2,1
112,63,130,64,139,140,138,"[25, 159]",143,104,54,1.17244548026204,0.00521290706890118,0.0104533240300922,0.321277059489168,0.557571325840553,0.229282391918533,148.837667799511,0.594583744460853,0.273507962415186,0.377112845664083,0.539828167581231,64.4171461782119,0.699234898817031,0.919077641027824,0.974659713535518,0.305035200116087,"[0.005794150879909206, 0.02090676338682007]","[0.6631561463260791, 1.505342536042101]","[1.5651013912328212e-07, 8.171647616992279e-07]",3,3,3,7
164,120,77,68,169,70,81,"[37, 174]",6,10,60,2.65021185257516,0.00528419499735921,0.0313040587993852,0.307679224410963,0.707100024272636,0.412393049115349,144.675387737627,0.518073956676527,0.128271860897781,0.568207079788161,0.551199146491672,133.855740072119,0.105523796378519,0.658517727633435,0.9917171907136,0.179348342811225,"[0.008757100133141562, 0.023574926506617324]","[0.6486275982451734, 1.3678337779842022]","[1.369464526811253e-07, 1.3290752160507483e-06]",1,1,1,1
153,131,73,47,124,145,72,"[82, 195]",121,125,73,1.84598540938441,0.00503396818122072,0.0235295277410323,0.319469386885632,0.554613491654504,0.748662855496926,107.420839187924,0.593394464495063,0.294364814932752,0.613884185212914,0.479863942870835,93.6055271837723,0.473852357563765,0.863614553373171,0.773251848892686,0.584798208358823,"[0.008410093618710698, 0.020253206546495674]","[0.5016742944838539, 1.486184703788159]","[1.5549711097530066e-07, 1.4744205730120823e-06]",1,15,1,3
174,76,119,36,100,108,131,"[91, 193]",105,36,97,1.41812102677306,0.00744555339836309,0.0283052644517415,0.3028995300761,0.413236188614874,0.292114010959722,154.93764927496,0.105083830247992,0.349138907271844,0.514989386363993,0.689715635906555,103.315519403265,0.782823980144895,0.688362322870788,0.569488987887639,0.416935860251265,"[0.007608166718744187, 0.023705064783314782]","[0.6618905174952951, 1.4134765473575694]","[1.0138249712736888e-07, 1.0658853768747374e-06]",3,-1,1,1
